id	name	code	hsn	tax_pct
3533	CUP NOOD MSLA	8901014004737	19021900	18.00
3534	TOP RAMEN CURRY 4 IN 1	8901014003181	19023010	12.00
3535	NISSIN TOP RAMEN CURRY	8901014003174	19021900	12.00
3536	TOP RAMEN CHICKEN 4 IN 1	8901014002566	19021900	12.00
3537	NISSIN TOP RAMEN CHIKEN NOODLES	8901014002542	19021900	18.00
3538	TOP RAMEN FIERY 4 IN 1	8901014002412	19021900	12.00
3539	TOP RAMEN MASALA 6 IN 1	8901014002054	19021900	12.00
3540	NISSIN POKEMON RAMEN	8901014000609	NA	18.00
3541	NISSIN HOT N SPICY KOREAN KIMCHI	8901014000425	19023090	18.00
3542	NISSIN GEKI KOREAN CHEESE	8901014000371	19021900	12.00
3543	TOP RAMEN MASALA 4 IN 1	8901014000364	19021900	12.00
3544	NISSIN GEKI CHICKEN	8901014000166	19021900	5.00
3545	NISSIN GEKI KOR VEG	8901014000159	19021900	18.00
3546	CLEAN N CLEAR FOAMING WASH 240ML	8901012189535	34013090	18.00
3547	CLEAN & CLEAR FOAMIN FACEWASH 285/-	8901012189511	34013090	18.00
3548	CLEAN &CLER FACE WASH 100ML	8901012189504	34013090	18.00
3549	CLEAN&CLEAR FACE WASH 50ML	8901012189498	34013090	18.00
3550	CLEAN & CLEAR  LAMON FRESH 100ML	8901012189399	34013090	18.00
3551	CLEAN & CLEAR LEMON FRESH 50ML	8901012189382	34013090	18.00
3552	CLEAN & CLEAR BERRY BLAST 100ML	8901012189368		18.00
3553	CLEAN & CLEAR BERRY BLAST 50ML	8901012189351	34013090	18.00
3554	SECURE XL 12S	8901012166741	96190010	18.00
3555	STAYFREE DRY MAX 42 UNITS	8901012166710	96190010	12.00
3556	STAYFREE SECURE XL	8901012166680	96190010	12.00
3557	SECURE XL 6S	8901012166635	96190010	18.00
3558	STAYFREE DRY MAX XXL 210/-	8901012166512	96190010	12.00
3559	STAYFREE DRYMAX XXL 110/-	8901012166482	96190010	12.00
3560	STAYFREE SECURE XL 55/-	8901012166406	96190010	12.00
3561	STAYFREE SECURE  REGULAR	8901012165850	961900110	12.00
3562	SECURE REGULAR	8901012165843	96190010	18.00
3563	STAYFREE SECURE DRY COVER 37/-	8901012165836	96190010	12.00
3564	STAYFREE XL 6UNITS	8901012165812	96190010	12.00
3565	SECURE XL 18S	8901012165805	96190010	18.00
3566	STAYFREE SECURE NIGHT 149/-	8901012165799	96190010	12.00
3567	STAYFREE SECURE NIGHTS	8901012165768	96190010	12.00
3568	J.BABY BUDS JAR	8901012155080	96190010	18.00
3569	J.BABY BUDS  M	8901012155073	96190010	18.00
3570	J.BABY BUDS  S	8901012155066	96190010	18.00
3571	LISTERINE CAVITY FIGHTER MOUTHWASH 230/-	8901012136027	33069000	18.00
3572	LISTERINE COOLMINT MOUTHWASH 385/-	8901012133064	33069000	18.00
3573	LISTERINE COOLMINT M/W 250ML	8901012133057	30043990	18.00
3574	LISTERINE COOLMINT M/W 80ML	8901012133040	33069000	18.00
3575	LISTERINE ORIGINAL 250ML	8901012132050	33069000	18.00
3576	LISTERINE ORIGINAL 80ML	8901012132043	30043990	18.00
3577	LISTERINE FRESHBURST MOUTHWASH 435/-	8901012131060	33069000	18.00
3578	J.BABY WIPES  L	8901012119259	330790	18.00
3579	JOHNSONS BABY WIPES 85/-	8901012119112	33079090	18.00
3580	JOHNSONS BABY HAIR OIL 95/-	8901012118108	33049990	18.00
3581	J.BABY HAIR OIL 200ML	8901012118092	33059019	18.00
3582	J.BABY HAIR OIL 100ML	8901012118085	330590	18.00
3583	JOHNSONS MILK+RICE CREAM 200/-	8901012117019	33049990	18.00
3584	JOHNSONS MILK RICECREAM 105/-	8901012117002	3304990	18.00
3585	JOHNSON MILK RICE CREAM 30GM	8901012116999	33049990	18.00
3586	JOHNSONS MILK+RICE LOTION 240/-	8901012116975		18.00
3587	J.BABY MILK LOTION 100ML	8901012116968	330499	18.00
