id,code,name,old_hsn,new_hsn,old_mrp,new_mrp,old_sale_price,new_sale_price,old_purchase_price,new_purchase_price,old_tax_pct,new_tax_pct
4151,4987176339522,PAMPERS M 7-12KG,,,374.00,374.00,355.30,355.30,238.46,238.46,12.00,5.00
4152,4987176218322,PAMPERS L 9-14KG,96190030,96190030,98.00,98.00,0.00,93.00,65.74,65.74,12.00,5.00
4153,4987176071453,PAMPERS S 4-8KG,88.3,88.3,93.00,93.00,88.30,88.30,62.39,62.39,12.00,5.00
4154,4987176218346,PAMPERS XL 12-17KG,96190030,96190030,117.00,117.00,168.10,168.10,78.50,78.50,12.00,5.00
4155,4902430786645,GILLETTE  WILKINSON SWORD,82122019,82122019,15.00,15.00,15.00,15.00,9.75,9.76,18.00,18.00
4158,4987176335623,HEAD & SHOULDERS 7IN 1 SHAMPOO,33051090,33051090,79.00,79.00,75.00,75.00,69.29,69.29,18.00,5.00
4167,8901138837044,HIMALAYA TAN REMOVAL FACE WASH,33049990,33049990,220.00,220.00,110.00,210.00,180.01,180.01,18.00,18.00
4179,8901542001659,GLUCON D NIMBU PANI,17023020,17023020,215.00,215.00,200.00,200.00,176.60,176.61,5.00,5.00
4182,8901542001437,NYCIL GERM EXPERT COOL HERBAL,30049011,30049011,50.00,50.00,50.00,50.00,43.04,42.05,5.00,5.00
4184,8901058030105,CEREGROW WITH MILK & FRUITS 300G,19011090,19011090,299.00,299.00,0.00,284.00,263.34,263.34,5.00,5.00
4187,8901396388388,DETTOL SKINCARE  LIQUID HAND WASH,34013090,34013090,140.00,140.00,135.00,135.00,124.76,124.09,18.00,18.00
4188,8901396389217,DETTOL  SENSITIVE  LIQUID HANDWASH 175ML,34013090,34013090,140.00,140.00,135.00,135.00,124.76,124.09,18.00,18.00
4189,8901207500046,ODOMOS 50G,38089191,38089191,65.00,65.00,60.00,60.00,52.00,53.18,18.00,18.00
4199,8904238303303,FOGG BLACK SECRET EVENING,33072000,33072000,299.00,299.00,200.00,210.00,177.97,177.97,18.00,18.00
4206,ITMMNZPSXZR,EVEREST KASHMIRILAL 8P,09042211,09042211,10.00,10.00,10.00,10.00,4.40,8.40,5.00,5.00
4221,8901030535697,VIM BAR 10/-,34054000,34054000,10.00,10.00,10.00,10.00,8.90,8.98,18.00,18.00
4233,8901764092282,MAAZA 850ML,22029020,22029020,50.00,50.00,50.00,50.00,43.66,43.67,5.00,5.00
4243,ITMMO5WVTB2,KAJU 500GM,08013200,08013200,520.00,520.00,500.00,500.00,470.00,470.00,5.00,0.00
4244,ITMMO5WW2HP,KAJU 250GM,08013200,08013200,265.00,265.00,255.00,255.00,235.00,235.00,5.00,0.00
4245,ITMMO5WYDNX,KISHMISH 500GM,08062010,08062010,280.00,280.00,260.00,260.00,220.00,220.00,5.00,0.00
4246,ITMMO5X5I6J,ALMONDS 250GM,08062010,08062010,245.00,245.00,225.00,225.00,202.50,202.50,5.00,0.00
4256,8901262151429,AMUL KOOL CAFE,80402,80402,30.00,30.00,30.00,30.00,26.70,26.70,5.00,0.00
